record_id,mall_name,city,zone,floor,store_name,category,sub_category,price_level,budget_min_rmb,budget_max_rmb,best_for,style_tags,target_user,estimated_time_min,visit_stage,mission_type,mission,reward,coupon_type,repurchase_trigger,ai_reason,keywords,data_status,source_note
HBIN77-060,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L2,Samsonite,Lifestyle,Luggage and travel gear,Medium to High,500,4000,travel luggage and functional purchase,travel luggage practical business,"travelers, families, business users",20,during_visit,scenario_match,Match one item to a travel scenario.,Unlock travel-prep points,lifestyle_coupon,travel season reminder,Good for travel-related shopping goals.,samsonite luggage travel,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-061,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,The Beast,Lifestyle,Flowers and lifestyle gifts,Medium to High,200,2000,"flowers, lifestyle gifts, romantic gifts",gift flower romantic lifestyle premium,"couples, gift buyers",20,during_visit,gift_match,Choose a gift theme for one person.,Unlock romantic gift badge,gift_coupon,anniversary/birthday reminder,Good for event-based repurchase reminders.,the beast flower gift lifestyle,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-062,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,M Stand,Food & Beverage,Coffee,Medium,25,80,stylish coffee break and social stop,coffee stylish social break,"students, young shoppers, social users",15,break,check_in,Use this as a stylish route check-in stop.,Unlock coffee check-in points,food_coupon,coffee return reminder,Good social break stop.,m stand coffee social,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-063,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Baker & Spice,Food & Beverage,Bakery and cafe,Medium,40,150,"bakery lunch, rest stop, premium casual meal",bakery cafe brunch premium casual,"friends, families, tourists",25,break,meal_plan,Add a bakery break without exceeding your time.,Unlock cafe route reward,food_coupon,weekend brunch reminder,Good for 2-hour+ routes and social groups.,baker spice bakery cafe,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-064,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Godiva,Food & Beverage,Chocolate and desserts,Medium to High,60,500,dessert gifts and premium treats,chocolate dessert gift premium,"gift buyers, couples, tourists",15,during_visit,gift_pick,Choose one dessert gift within budget.,Unlock sweet gift reward,gift_coupon,holiday gift reminder,Good gift add-on and quick stop.,godiva chocolate gift dessert,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-065,Hangzhou Hubin Yintai in77,Hangzhou,Food Area,L4,Sushi Restaurant,Food & Beverage,Restaurant,Medium,80,200,lunch/dinner after shopping,food sushi meal social,"friends, couples, families",45,after_visit,meal_plan,Plan a meal stop after completing missions.,Unlock dining reward,food_coupon,return meal reminder,Generic restaurant row to support meal route logic.,sushi restaurant meal dinner,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-066,Hangzhou Hubin Yintai in77,Hangzhou,Entertainment Area,L5,Cinema,Entertainment,Movie experience,Medium,35,120,post-shopping entertainment and date/friend plan,movie entertainment date friends,"couples, friend groups, families",90,after_visit,reservation,Add a movie plan after your shopping route.,Unlock entertainment points,activity_coupon,new movie/event reminder,Good for longer routes and social visits.,cinema movie entertainment friends,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-067,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Beauty Service Kiosk,Service,Beauty service,Low to Medium,0,200,"makeup touch-up, trial service, beauty engagement",beauty service trial quick,"beauty users, young shoppers",15,during_visit,service_trial,Try one quick beauty service or consultation.,Unlock service trial reward,sample_reward,beauty service follow-up reminder,Supports experiential AI missions.,beauty service trial consultation,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-068,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Member Service Center,Service,Mall membership service,Low,0,0,"points, membership, coupon help",membership points coupon service,all Miaojie members,10,before_visit,check_in,Check available points and coupons before route.,Unlock member readiness badge,points_only,membership benefit reminder,Important app-to-offline bridge for Miaojie.,member service points coupon,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-069,Hangzhou Hubin Yintai in77,Hangzhou,Mall Entrance,B1,Parking/Metro Entrance,Transit,Arrival point,Low,0,0,"arrival, navigation, route start",arrival navigation metro parking,all visitors,5,before_visit,check_in,Start your MiaoGo route from the nearest entrance.,Unlock route-start points,points_only,next visit entry suggestion,Useful for route sequencing and time estimates.,metro entrance parking arrival,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-070,Hangzhou Hubin Yintai in77,Hangzhou,Outside Mall,Outdoor,West Lake Nearby Walk,Nearby Activity,Scenic walk,Low,0,0,"after-shopping leisure, tourist route",scenic walk tourist lake casual,"tourists, couples, families",30,after_visit,photo_checkin,End your route with a scenic check-in.,Unlock city-walk badge,points_only,weekend route reminder,Good for Hangzhou in77 location context and tourist journeys.,west lake walk scenic tourist,prototype_sample,Prototype sample / to verify with official mall data
